Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity demand [MW]
2014-12-31 23:00:00,0,3,1,2015,15505.0
2015-01-01 00:00:00,1,3,1,2015,15471.0
2015-01-01 01:00:00,2,3,1,2015,15105.0
2015-01-01 02:00:00,3,3,1,2015,14883.0
2015-01-01 03:00:00,4,3,1,2015,14755.0
2015-01-01 04:00:00,5,3,1,2015,14903.0
2015-01-01 05:00:00,6,3,1,2015,15131.0
2015-01-01 06:00:00,7,3,1,2015,15415.0
2015-01-01 07:00:00,8,3,1,2015,15567.0
2015-01-01 08:00:00,9,3,1,2015,15852.0
2015-01-01 09:00:00,10,3,1,2015,16041.0
2015-01-01 10:00:00,11,3,1,2015,16263.0
2015-01-01 11:00:00,12,3,1,2015,16628.0
2015-01-01 12:00:00,13,3,1,2015,16827.0
2015-01-01 13:00:00,14,3,1,2015,16895.0
2015-01-01 14:00:00,15,3,1,2015,17204.0
2015-01-01 15:00:00,16,3,1,2015,17483.0
2015-01-01 16:00:00,17,3,1,2015,17222.0
2015-01-01 17:00:00,18,3,1,2015,17014.0
2015-01-01 18:00:00,19,3,1,2015,16827.0
2015-01-01 19:00:00,20,3,1,2015,16536.0
2015-01-01 20:00:00,21,3,1,2015,16275.0
2015-01-01 21:00:00,22,3,1,2015,15770.0
2015-01-01 22:00:00,23,3,1,2015,15194.0
2015-01-01 23:00:00,0,4,1,2015,14681.0
2015-01-02 00:00:00,1,4,1,2015,14290.0
2015-01-02 01:00:00,2,4,1,2015,14120.0
2015-01-02 02:00:00,3,4,1,2015,13966.0
2015-01-02 03:00:00,4,4,1,2015,14023.0
2015-01-02 04:00:00,5,4,1,2015,14465.0
2015-01-02 05:00:00,6,4,1,2015,15195.0
2015-01-02 06:00:00,7,4,1,2015,16244.0
2015-01-02 07:00:00,8,4,1,2015,17084.0
2015-01-02 08:00:00,9,4,1,2015,17377.0
2015-01-02 09:00:00,10,4,1,2015,17722.0
2015-01-02 10:00:00,11,4,1,2015,17851.0
2015-01-02 11:00:00,12,4,1,2015,17973.0
2015-01-02 12:00:00,13,4,1,2015,17857.0
2015-01-02 13:00:00,14,4,1,2015,18009.0
2015-01-02 14:00:00,15,4,1,2015,18175.0
2015-01-02 15:00:00,16,4,1,2015,18417.0
2015-01-02 16:00:00,17,4,1,2015,18335.0
2015-01-02 17:00:00,18,4,1,2015,18173.0
2015-01-02 18:00:00,19,4,1,2015,18061.0
2015-01-02 19:00:00,20,4,1,2015,17735.0
2015-01-02 20:00:00,21,4,1,2015,17169.0
2015-01-02 21:00:00,22,4,1,2015,16701.0
2015-01-02 22:00:00,23,4,1,2015,16164.0
2015-01-02 23:00:00,0,5,1,2015,15758.0
2015-01-03 00:00:00,1,5,1,2015,15414.0
2015-01-03 01:00:00,2,5,1,2015,15218.0
2015-01-03 02:00:00,3,5,1,2015,15166.0
2015-01-03 03:00:00,4,5,1,2015,15162.0
2015-01-03 04:00:00,5,5,1,2015,15242.0
2015-01-03 05:00:00,6,5,1,2015,15556.0
2015-01-03 06:00:00,7,5,1,2015,15928.0
2015-01-03 07:00:00,8,5,1,2015,16507.0
2015-01-03 08:00:00,9,5,1,2015,17248.0
2015-01-03 09:00:00,10,5,1,2015,17826.0
2015-01-03 10:00:00,11,5,1,2015,18019.0
2015-01-03 11:00:00,12,5,1,2015,18066.0
2015-01-03 12:00:00,13,5,1,2015,17926.0
2015-01-03 13:00:00,14,5,1,2015,17936.0
2015-01-03 14:00:00,15,5,1,2015,18097.0
2015-01-03 15:00:00,16,5,1,2015,18552.0
2015-01-03 16:00:00,17,5,1,2015,18625.0
2015-01-03 17:00:00,18,5,1,2015,18639.0
2015-01-03 18:00:00,19,5,1,2015,18223.0
2015-01-03 19:00:00,20,5,1,2015,17776.0
2015-01-03 20:00:00,21,5,1,2015,17415.0
