Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity demand [MW]
2014-12-31 23:00:00,0,3,1,2015,45000.5
2015-01-01 00:00:00,1,3,1,2015,43833.25
2015-01-01 01:00:00,2,3,1,2015,42322.25
2015-01-01 02:00:00,3,3,1,2015,40966.0
2015-01-01 03:00:00,4,3,1,2015,40283.5
2015-01-01 04:00:00,5,3,1,2015,39621.75
2015-01-01 05:00:00,6,3,1,2015,38195.25
2015-01-01 06:00:00,7,3,1,2015,38488.25
2015-01-01 07:00:00,8,3,1,2015,39194.25
2015-01-01 08:00:00,9,3,1,2015,41783.75
2015-01-01 09:00:00,10,3,1,2015,44625.5
2015-01-01 10:00:00,11,3,1,2015,47587.0
2015-01-01 11:00:00,12,3,1,2015,48859.5
2015-01-01 12:00:00,13,3,1,2015,47970.0
2015-01-01 13:00:00,14,3,1,2015,47223.5
2015-01-01 14:00:00,15,3,1,2015,47196.75
2015-01-01 15:00:00,16,3,1,2015,49557.5
2015-01-01 16:00:00,17,3,1,2015,54048.5
2015-01-01 17:00:00,18,3,1,2015,54735.5
2015-01-01 18:00:00,19,3,1,2015,54067.25
2015-01-01 19:00:00,20,3,1,2015,51819.5
2015-01-01 20:00:00,21,3,1,2015,50572.75
2015-01-01 21:00:00,22,3,1,2015,50550.25
2015-01-01 22:00:00,23,3,1,2015,47841.75
2015-01-01 23:00:00,0,4,1,2015,44812.5
2015-01-02 00:00:00,1,4,1,2015,42986.5
2015-01-02 01:00:00,2,4,1,2015,42126.75
2015-01-02 02:00:00,3,4,1,2015,42102.75
2015-01-02 03:00:00,4,4,1,2015,42826.5
2015-01-02 04:00:00,5,4,1,2015,44181.0
2015-01-02 05:00:00,6,4,1,2015,46695.25
2015-01-02 06:00:00,7,4,1,2015,51243.0
2015-01-02 07:00:00,8,4,1,2015,55123.75
2015-01-02 08:00:00,9,4,1,2015,58275.5
2015-01-02 09:00:00,10,4,1,2015,60213.0
2015-01-02 10:00:00,11,4,1,2015,61729.75
2015-01-02 11:00:00,12,4,1,2015,61972.0
2015-01-02 12:00:00,13,4,1,2015,60887.0
2015-01-02 13:00:00,14,4,1,2015,59701.25
2015-01-02 14:00:00,15,4,1,2015,58997.0
2015-01-02 15:00:00,16,4,1,2015,60411.75
2015-01-02 16:00:00,17,4,1,2015,63412.0
2015-01-02 17:00:00,18,4,1,2015,63738.5
2015-01-02 18:00:00,19,4,1,2015,61980.5
2015-01-02 19:00:00,20,4,1,2015,58074.25
2015-01-02 20:00:00,21,4,1,2015,55612.75
2015-01-02 21:00:00,22,4,1,2015,53939.25
2015-01-02 22:00:00,23,4,1,2015,48161.0
2015-01-02 23:00:00,0,5,1,2015,44611.5
2015-01-03 00:00:00,1,5,1,2015,42284.75
2015-01-03 01:00:00,2,5,1,2015,40889.0
2015-01-03 02:00:00,3,5,1,2015,40693.75
2015-01-03 03:00:00,4,5,1,2015,41081.25
2015-01-03 04:00:00,5,5,1,2015,41308.0
2015-01-03 05:00:00,6,5,1,2015,42597.0
2015-01-03 06:00:00,7,5,1,2015,45014.5
2015-01-03 07:00:00,8,5,1,2015,48330.25
2015-01-03 08:00:00,9,5,1,2015,51829.25
2015-01-03 09:00:00,10,5,1,2015,54476.5
2015-01-03 10:00:00,11,5,1,2015,56530.25
2015-01-03 11:00:00,12,5,1,2015,56544.0
2015-01-03 12:00:00,13,5,1,2015,56491.25
2015-01-03 13:00:00,14,5,1,2015,55528.5
2015-01-03 14:00:00,15,5,1,2015,55338.0
2015-01-03 15:00:00,16,5,1,2015,57572.75
2015-01-03 16:00:00,17,5,1,2015,60649.75
2015-01-03 17:00:00,18,5,1,2015,60928.75
2015-01-03 18:00:00,19,5,1,2015,59631.0
2015-01-03 19:00:00,20,5,1,2015,55590.75
2015-01-03 20:00:00,21,5,1,2015,53181.5
2015-01-03 21:00:00,22,5,1,2015,52822.25
2015-01-03 22:00:00,23,5,1,2015,49999.0
2015-01-03 23:00:00,0,6,1,2015,46774.75
2015-01-04 00:00:00,1,6,1,2015,42554.25
2015-01-04 01:00:00,2,6,1,2015,41137.5
2015-01-04 02:00:00,3,6,1,2015,40578.25
2015-01-04 03:00:00,4,6,1,2015,40673.25
2015-01-04 04:00:00,5,6,1,2015,40208.5
2015-01-04 05:00:00,6,6,1,2015,39679.0
2015-01-04 06:00:00,7,6,1,2015,42232.5
2015-01-04 07:00:00,8,6,1,2015,45060.0
2015-01-04 08:00:00,9,6,1,2015,48230.5
2015-01-04 09:00:00,10,6,1,2015,51650.0
2015-01-04 10:00:00,11,6,1,2015,54780.75
2015-01-04 11:00:00,12,6,1,2015,55062.5
2015-01-04 12:00:00,13,6,1,2015,53618.75
2015-01-04 13:00:00,14,6,1,2015,52167.25
2015-01-04 14:00:00,15,6,1,2015,51669.75
2015-01-04 15:00:00,16,6,1,2015,53537.5
2015-01-04 16:00:00,17,6,1,2015,57964.0
2015-01-04 17:00:00,18,6,1,2015,59031.0
2015-01-04 18:00:00,19,6,1,2015,57570.0
2015-01-04 19:00:00,20,6,1,2015,55029.0
2015-01-04 20:00:00,21,6,1,2015,53525.0
2015-01-04 21:00:00,22,6,1,2015,53447.75
2015-01-04 22:00:00,23,6,1,2015,50315.25
2015-01-04 23:00:00,0,0,1,2015,46996.75
2015-01-05 00:00:00,1,0,1,2015,44950.0
2015-01-05 01:00:00,2,0,1,2015,43979.0
2015-01-05 02:00:00,3,0,1,2015,44010.25
2015-01-05 03:00:00,4,0,1,2015,45296.25
2015-01-05 04:00:00,5,0,1,2015,48727.0
2015-01-05 05:00:00,6,0,1,2015,54640.75
2015-01-05 06:00:00,7,0,1,2015,60858.75
2015-01-05 07:00:00,8,0,1,2015,64489.25
2015-01-05 08:00:00,9,0,1,2015,65811.5
2015-01-05 09:00:00,10,0,1,2015,67054.5
2015-01-05 10:00:00,11,0,1,2015,68139.0
