Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity demand [MW]
2015-01-01 00:00:00,0,3,1,2015,28726.0
2015-01-01 01:00:00,1,3,1,2015,29311.0
2015-01-01 02:00:00,2,3,1,2015,27495.5
2015-01-01 03:00:00,3,3,1,2015,25837.0
2015-01-01 04:00:00,4,3,1,2015,23812.5
2015-01-01 05:00:00,5,3,1,2015,22909.5
2015-01-01 06:00:00,6,3,1,2015,22924.5
2015-01-01 07:00:00,7,3,1,2015,23615.0
2015-01-01 08:00:00,8,3,1,2015,23854.5
2015-01-01 09:00:00,9,3,1,2015,25683.5
2015-01-01 10:00:00,10,3,1,2015,28637.0
2015-01-01 11:00:00,11,3,1,2015,31272.0
2015-01-01 12:00:00,12,3,1,2015,33300.0
2015-01-01 13:00:00,13,3,1,2015,34201.5
2015-01-01 14:00:00,14,3,1,2015,34238.5
2015-01-01 15:00:00,15,3,1,2015,34418.5
2015-01-01 16:00:00,16,3,1,2015,36018.0
2015-01-01 17:00:00,17,3,1,2015,38435.5
2015-01-01 18:00:00,18,3,1,2015,37973.5
2015-01-01 19:00:00,19,3,1,2015,36303.0
2015-01-01 20:00:00,20,3,1,2015,34574.5
2015-01-01 21:00:00,21,3,1,2015,32215.0
2015-01-01 22:00:00,22,3,1,2015,29753.0
2015-01-01 23:00:00,23,3,1,2015,27364.5
2015-01-02 00:00:00,0,4,1,2015,25352.5
2015-01-02 01:00:00,1,4,1,2015,25134.0
2015-01-02 02:00:00,2,4,1,2015,23993.0
2015-01-02 03:00:00,3,4,1,2015,23250.0
2015-01-02 04:00:00,4,4,1,2015,22200.5
2015-01-02 05:00:00,5,4,1,2015,22117.5
2015-01-02 06:00:00,6,4,1,2015,23824.0
2015-01-02 07:00:00,7,4,1,2015,26963.0
2015-01-02 08:00:00,8,4,1,2015,29945.5
2015-01-02 09:00:00,9,4,1,2015,32936.0
2015-01-02 10:00:00,10,4,1,2015,34642.5
2015-01-02 11:00:00,11,4,1,2015,35170.5
2015-01-02 12:00:00,12,4,1,2015,35402.0
2015-01-02 13:00:00,13,4,1,2015,35300.0
2015-01-02 14:00:00,14,4,1,2015,35469.0
2015-01-02 15:00:00,15,4,1,2015,36315.5
2015-01-02 16:00:00,16,4,1,2015,38918.5
2015-01-02 17:00:00,17,4,1,2015,44477.5
2015-01-02 18:00:00,18,4,1,2015,44472.5
2015-01-02 19:00:00,19,4,1,2015,42801.0
2015-01-02 20:00:00,20,4,1,2015,40035.5
2015-01-02 21:00:00,21,4,1,2015,37177.0
2015-01-02 22:00:00,22,4,1,2015,33973.5
2015-01-02 23:00:00,23,4,1,2015,30944.0
2015-01-03 00:00:00,0,5,1,2015,28553.0
2015-01-03 01:00:00,1,5,1,2015,28147.5
2015-01-03 02:00:00,2,5,1,2015,26814.0
2015-01-03 03:00:00,3,5,1,2015,25788.5
2015-01-03 04:00:00,4,5,1,2015,24638.5
2015-01-03 05:00:00,5,5,1,2015,24282.5
2015-01-03 06:00:00,6,5,1,2015,25429.0
2015-01-03 07:00:00,7,5,1,2015,27674.0
2015-01-03 08:00:00,8,5,1,2015,30319.5
2015-01-03 09:00:00,9,5,1,2015,34114.0
2015-01-03 10:00:00,10,5,1,2015,37357.0
2015-01-03 11:00:00,11,5,1,2015,38894.0
2015-01-03 12:00:00,12,5,1,2015,39630.5
2015-01-03 13:00:00,13,5,1,2015,39424.5
2015-01-03 14:00:00,14,5,1,2015,38804.0
2015-01-03 15:00:00,15,5,1,2015,38381.5
2015-01-03 16:00:00,16,5,1,2015,39961.5
2015-01-03 17:00:00,17,5,1,2015,44136.0
2015-01-03 18:00:00,18,5,1,2015,44849.5
2015-01-03 19:00:00,19,5,1,2015,42984.5
2015-01-03 20:00:00,20,5,1,2015,40398.0
2015-01-03 21:00:00,21,5,1,2015,37881.5
2015-01-03 22:00:00,22,5,1,2015,35099.5
2015-01-03 23:00:00,23,5,1,2015,32519.0
2015-01-04 00:00:00,0,6,1,2015,30455.0
2015-01-04 01:00:00,1,6,1,2015,30099.0
2015-01-04 02:00:00,2,6,1,2015,28569.0
2015-01-04 03:00:00,3,6,1,2015,27706.0
2015-01-04 04:00:00,4,6,1,2015,26558.0
2015-01-04 05:00:00,5,6,1,2015,26081.5
2015-01-04 06:00:00,6,6,1,2015,26503.5
2015-01-04 07:00:00,7,6,1,2015,27669.5
2015-01-04 08:00:00,8,6,1,2015,29047.5
2015-01-04 09:00:00,9,6,1,2015,32284.5
2015-01-04 10:00:00,10,6,1,2015,35729.5
