Time (UTC),Load (MW)
2024-10-09 07:00:00,45.9075
2024-10-10 07:00:00,61.6132
2024-10-10 15:35:00,59.3168
2024-10-10 15:40:00,58.4636
2024-10-10 15:45:00,58.0207
2024-10-10 15:50:00,58.0846
2024-10-10 15:55:00,58.1058
2024-10-10 16:00:00,57.7173
2024-10-10 16:05:00,57.3346
2024-10-10 16:10:00,57.8376
2024-10-10 16:20:00,57.8945
2024-10-10 16:25:00,57.6089
2024-10-10 16:30:00,57.8465
2024-10-10 16:35:00,57.4523
2024-10-10 16:40:00,57.3879
2024-10-10 16:45:00,57.7578
2024-10-10 16:50:00,56.6331
2024-10-10 16:55:00,57.3051
2024-10-10 17:00:00,57.2709
2024-10-10 17:05:00,56.5168
2024-10-10 17:10:00,56.8225
2024-10-10 17:15:00,56.9815
2024-10-10 17:20:00,55.0025
2024-10-10 17:25:00,55.9127
2024-10-10 17:30:00,56.8455
2024-10-10 17:35:00,55.3925
2024-10-10 17:40:00,54.4936
2024-10-10 17:45:00,54.2015
2024-10-10 17:50:00,55.0537
2024-10-10 17:55:00,55.3054
2024-10-10 18:00:00,55.283
2024-10-10 18:05:00,55.3985
2024-10-10 18:10:00,55.428
2024-10-10 18:15:00,54.4543
2024-10-10 18:20:00,54.9427
2024-10-10 18:25:00,54.9295
2024-10-10 18:30:00,54.7922
2024-10-10 18:35:00,54.0165
2024-10-10 18:40:00,55.2937
2024-10-10 18:45:00,54.4719
2024-10-10 18:50:00,54.0786
2024-10-10 18:55:00,53.5331
2024-10-10 19:00:00,53.5536
2024-10-10 19:05:00,54.321
2024-10-10 19:10:00,54.4231
2024-10-10 19:15:00,54.5877
2024-10-10 19:20:00,54.4661
2024-10-10 19:25:00,54.3609
2024-10-10 19:30:00,54.1714
2024-10-10 19:35:00,53.4752
2024-10-10 19:40:00,53.6057
2024-10-10 19:45:00,53.5335
2024-10-10 19:50:00,53.8831
2024-10-10 19:55:00,53.4291
2024-10-10 20:00:00,53.1901
2024-10-10 20:05:00,53.5761
2024-10-10 20:10:00,53.2913
2024-10-10 20:15:00,52.5996
2024-10-10 20:20:00,52.0692
2024-10-10 20:25:00,52.4344
2024-10-10 20:30:00,52.2351
2024-10-10 20:35:00,52.2619
2024-10-10 20:40:00,53.0133
2024-10-10 20:45:00,51.7823
2024-10-10 20:50:00,52.8892
2024-10-10 20:55:00,52.7467
2024-10-10 21:00:00,52.2565
2024-10-10 21:05:00,51.7058
2024-10-10 21:10:00,51.0864
2024-10-10 21:15:00,51.1583
2024-10-10 21:20:00,51.5742
2024-10-10 21:25:00,50.7846
2024-10-10 21:30:00,51.0337
2024-10-10 21:35:00,50.3951
2024-10-10 21:40:00,49.5251
2024-10-10 21:45:00,50.0788
2024-10-10 21:50:00,49.0543
2024-10-10 21:55:00,49.0315
2024-10-10 22:00:00,50.3292
2024-10-10 22:05:00,49.483
2024-10-10 22:10:00,48.5893
2024-10-10 22:15:00,50.1872
2024-10-10 22:20:00,49.4083
2024-10-10 22:25:00,49.783
2024-10-10 22:30:00,50.4385
2024-10-10 22:35:00,49.8603
2024-10-10 22:45:00,49.7179
2024-10-10 22:50:00,49.4913
2024-10-10 22:55:00,49.1955
2024-10-10 23:00:00,50.8364
2024-10-10 23:05:00,50.3665
2024-10-10 23:15:00,50.3877
2024-10-10 23:20:00,51.2594
2024-10-10 23:25:00,51.7785
2024-10-10 23:30:00,50.4063
2024-10-10 23:35:00,51.1273
2024-10-10 23:40:00,52.1247
2024-10-10 23:45:00,52.2298
2024-10-10 23:50:00,52.3201
2024-10-10 23:55:00,51.8924
2024-10-11 00:00:00,53.1962
2024-10-11 00:05:00,53.1169
2024-10-11 00:10:00,53.8378
2024-10-11 00:15:00,53.5396
2024-10-11 00:20:00,53.638
2024-10-11 00:25:00,53.238
2024-10-11 00:30:00,54.3426
2024-10-11 00:35:00,54.936
2024-10-11 00:40:00,54.6808
2024-10-11 00:45:00,55.3234
2024-10-11 00:50:00,55.3358
2024-10-11 00:55:00,55.4535
2024-10-11 01:00:00,55.9113
2024-10-11 01:05:00,56.5233
2024-10-11 01:10:00,57.2358
2024-10-11 01:15:00,57.5639
2024-10-11 01:20:00,58.1554
2024-10-11 01:25:00,57.9966
2024-10-11 01:30:00,57.436
2024-10-11 01:35:00,57.7909
2024-10-11 01:40:00,57.8555
2024-10-11 01:45:00,57.669
2024-10-11 01:50:00,58.0545
2024-10-11 01:55:00,58.1849
2024-10-11 02:00:00,57.8792
2024-10-11 02:05:00,57.7002
2024-10-11 02:10:00,56.9125
2024-10-11 02:15:00,57.8107
2024-10-11 02:20:00,58.4653
2024-10-11 02:25:00,59.3989
2024-10-11 02:30:00,59.5028
2024-10-11 02:35:00,59.1556
2024-10-11 02:40:00,59.4058
2024-10-11 02:45:00,59.4879
2024-10-11 02:50:00,59.5947
2024-10-11 02:55:00,59.5942
2024-10-11 03:00:00,59.5414
2024-10-11 03:05:00,58.7821
2024-10-11 03:15:00,58.0613
2024-10-11 03:20:00,57.7989
2024-10-11 03:25:00,57.7912
2024-10-11 03:30:00,57.7655
2024-10-11 03:35:00,57.0267
2024-10-11 03:40:00,57.8291
2024-10-11 03:45:00,56.9937
2024-10-11 03:50:00,56.1739
2024-10-11 03:55:00,56.2642
2024-10-11 04:00:00,56.2021
2024-10-11 04:05:00,55.4316
2024-10-11 04:10:00,54.9345
2024-10-11 04:15:00,54.6663
2024-10-11 04:20:00,54.998
2024-10-11 04:25:00,55.4708
2024-10-11 04:30:00,55.5342
2024-10-11 04:35:00,55.3137
2024-10-11 04:40:00,54.5715
2024-10-11 04:45:00,54.8043
2024-10-11 04:50:00,54.423
2024-10-11 04:55:00,55.2246
2024-10-11 05:00:00,54.9264
2024-10-11 05:05:00,53.6389
2024-10-11 05:10:00,53.1638
2024-10-11 05:15:00,52.7538
2024-10-11 05:20:00,51.8335
2024-10-11 05:25:00,50.5352
2024-10-11 05:30:00,49.6808
2024-10-11 05:35:00,50.0079
2024-10-11 05:40:00,50.588
2024-10-11 05:45:00,49.4806
2024-10-11 05:50:00,49.46
2024-10-11 05:55:00,48.8796
2024-10-11 06:00:00,48.9072
2024-10-11 06:05:00,48.7425
2024-10-11 06:10:00,47.6518
2024-10-11 06:15:00,46.5786
2024-10-11 06:20:00,46.3417
2024-10-11 06:25:00,45.9148
2024-10-11 06:30:00,45.3545
2024-10-11 06:35:00,45.0778
2024-10-11 06:40:00,44.4794
2024-10-11 06:45:00,44.535
2024-10-11 06:50:00,43.9122
2024-10-11 07:00:00,43.6617
2024-10-11 07:05:00,43.8375
2024-10-11 07:10:00,43.0082
2024-10-11 07:15:00,42.929
2024-10-11 07:20:00,42.7817
2024-10-11 07:30:00,43.3913
2024-10-11 07:35:00,41.6196
2024-10-11 07:40:00,41.6654
2024-10-11 07:45:00,41.133
2024-10-11 07:50:00,41.3826
2024-10-11 07:55:00,41.4712
2024-10-11 08:00:00,41.1182
2024-10-11 08:05:00,41.5614
2024-10-11 08:10:00,40.8935
2024-10-11 08:15:00,41.1528
2024-10-11 08:20:00,41.2908
2024-10-11 08:25:00,40.2045
2024-10-11 08:30:00,39.8748
2024-10-11 08:35:00,40.6232
2024-10-11 08:40:00,40.7469
2024-10-11 08:45:00,41.0103
2024-10-11 08:50:00,41.154
2024-10-11 08:55:00,42.0018
2024-10-11 09:00:00,42.0468
2024-10-11 09:05:00,42.1675
2024-10-11 09:10:00,42.4241
2024-10-11 09:15:00,42.1281
2024-10-11 09:20:00,41.8009
2024-10-11 09:25:00,41.0833
2024-10-11 09:30:00,41.0421
2024-10-11 09:35:00,40.4599
2024-10-11 09:40:00,41.4712
2024-10-11 09:45:00,41.7239
2024-10-11 09:50:00,41.7883
2024-10-11 09:55:00,41.6454
2024-10-11 10:00:00,41.9853
2024-10-11 10:05:00,42.1204
2024-10-11 10:10:00,41.984
2024-10-11 10:15:00,42.4897
2024-10-11 10:20:00,41.1902
2024-10-11 10:25:00,41.856
2024-10-11 10:30:00,41.2226
2024-10-11 10:35:00,41.0119
2024-10-11 10:40:00,41.3548
2024-10-11 10:45:00,41.9484
2024-10-11 10:50:00,42.5548
2024-10-11 10:55:00,42.4414
2024-10-11 11:00:00,42.6424
2024-10-11 11:05:00,41.6122
2024-10-11 11:10:00,41.7304
2024-10-11 11:15:00,42.7361
2024-10-11 11:20:00,41.6903
2024-10-11 11:25:00,41.689
2024-10-11 11:30:00,42.1692
2024-10-11 11:35:00,42.3297
2024-10-11 11:40:00,41.9892
2024-10-11 11:45:00,42.5942
2024-10-11 11:50:00,42.6372
2024-10-11 11:55:00,41.8726
2024-10-11 12:00:00,42.6363
2024-10-11 12:05:00,43.033
2024-10-11 12:10:00,42.3841
2024-10-11 12:15:00,42.6671
2024-10-11 12:20:00,44.7037
2024-10-11 12:25:00,44.2728
2024-10-11 12:30:00,44.1542
2024-10-11 12:35:00,44.2683
2024-10-11 12:40:00,43.7947
2024-10-11 12:45:00,44.3829
2024-10-11 12:50:00,46.1635
2024-10-11 12:55:00,46.2976
2024-10-11 13:05:00,47.8531
2024-10-11 13:10:00,48.4278
2024-10-11 13:15:00,49.161
2024-10-11 13:25:00,51.6341
2024-10-11 13:30:00,53.0095
2024-10-11 13:35:00,52.9505
2024-10-11 13:40:00,52.986
2024-10-11 13:45:00,54.0149
2024-10-11 13:50:00,54.5449
2024-10-11 13:55:00,55.1383
2024-10-11 14:00:00,54.9244
2024-10-11 14:05:00,56.469
2024-10-11 14:10:00,57.0756
2024-10-11 14:15:00,58.365
2024-10-11 14:20:00,58.4471
2024-10-11 14:25:00,60.0665
2024-10-11 14:30:00,60.102
2024-10-11 14:35:00,60.605
2024-10-11 14:40:00,60.4142
2024-10-11 14:45:00,61.4413
2024-10-11 14:50:00,61.5647
2024-10-11 14:55:00,62.6834
2024-10-11 15:00:00,62.3668
2024-10-11 15:05:00,62.4737
2024-10-11 15:10:00,62.4358
2024-10-11 15:15:00,62.1797
2024-10-11 15:20:00,61.2139
2024-10-11 15:25:00,61.388
2024-10-11 15:30:00,61.3403
2024-10-11 15:35:00,61.645
2024-10-11 15:40:00,61.271
2024-10-11 15:45:00,60.9167
2024-10-11 15:50:00,60.7257
2024-10-11 15:55:00,60.5924
2024-10-11 16:00:00,60.6726
2024-10-11 16:05:00,60.4375
2024-10-11 16:10:00,59.7294
2024-10-11 16:15:00,60.3625
2024-10-11 16:20:00,60.0823
2024-10-11 16:25:00,59.4733
2024-10-11 16:30:00,59.1662
2024-10-11 16:35:00,58.7287
2024-10-11 16:40:00,59.046
2024-10-11 16:45:00,58.5945
2024-10-11 16:50:00,58.106
2024-10-11 16:55:00,57.105
2024-10-11 17:00:00,56.6068
2024-10-11 17:05:00,56.4923
2024-10-11 17:10:00,56.2446
2024-10-11 17:15:00,55.7658
2024-10-11 17:20:00,55.86
2024-10-11 17:25:00,55.6843
2024-10-11 17:30:00,54.4934
2024-10-11 17:35:00,54.4392
2024-10-11 17:40:00,54.9062
2024-10-11 17:45:00,53.7602
2024-10-11 17:50:00,53.4824
2024-10-11 17:55:00,53.4341
2024-10-11 18:00:00,52.6897
2024-10-11 18:05:00,52.8194
2024-10-11 18:10:00,52.295
2024-10-11 18:15:00,51.4323
2024-10-11 18:20:00,51.2256
2024-10-11 18:25:00,51.3751
2024-10-11 18:30:00,50.1909
2024-10-11 18:35:00,50.5571
2024-10-11 18:40:00,50.0736
2024-10-11 18:45:00,50.3177
2024-10-11 18:50:00,50.1575
