"GDP per capita, PPP (euro, the long-term exchange rate of 1.33 USD/€)", , , , , , , , , , , , , , , ,
Code,Countries,Continents,SRegion,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,2060.0,2070.0,2080.0,2090.0,2100.0
1,Afghanistan,Asia-Pacific,India_SAARC,1403.13071178629,1683.18104610408,2185.48169900619,3111.67844980023,4840.79282768029,7995.94463778656,13341.5890365383,21338.5287140098,42899.4392561219,63337.2847111563,76861.4751982957,84046.5683382529,87418.3602565563
2,Albania,Europe,Europe,8134.79878354537,10875.538379215,14685.1130488135,19676.7104117562,25765.2659765996,32652.3619492843,39921.1657611014,47181.0404265664,60699.6915339716,72005.7427850432,80242.6492896481,85276.8637332234,87982.4018235042
3,Algeria,Africa,MENA,10724.5375411503,12977.7210932664,16424.9014461785,21407.1759265581,28010.1167132041,35853.4045452435,44164.6425122034,52155.5583122722,65622.6329982272,75550.0624011011,82219.4963105095,86050.6599668397,87991.6115602097
4,Andorra,Europe,Europe,25864.1519762414,29166.0550819552,32578.107342212,36076.9738183106,39656.7272309917,43334.0634701073,47148.6768461865,51153.7642366544,59857.5831671234,69044.9022401291,77329.3421063665,83662.17293569,88116.5474160348
5,Angola,Africa,Africa,5965.42033316453,7869.40034444316,10372.1369387397,13562.9000130412,17492.755740256,22163.1357967564,27527.7237825687,33503.9173282778,46807.3008840185,60617.2290166781,72793.1419110019,81862.2756905385,87904.0723859279
6,Antarctica,,,,,,,,,,,,,,,
7,Antigua and Barbuda,Americas,N America,16162.4588090948,18477.0737580387,22088.5996406482,27347.2978183212,34250.0477740294,42203.8378909832,50227.8563158206,57510.6103695372,69009.5824619483,77293.6184567255,82972.7104862392,86295.7218333219,88000.1078508114
8,Area under dispute,,,,,,,,,,,,,,,
9,Argentina,Americas,S America,15465.3880616001,19688.6029332805,25581.9585890146,32935.2039222136,40987.9067474153,48775.9183368415,55639.3919595085,61421.2474457377,70564.6328535393,77741.1696618048,83006.7521172921,86192.7214166712,87855.7313551718
10,Armenia,Europe,Eurasia,6539.95962089511,10139.3179326185,15930.0378557305,24038.46283889,33632.9900525062,43288.7119333779,51868.3729364196,58977.7612883834,69645.3120224196,77432.7926734288,82924.4851587504,86190.0320369472,87879.7157309501
11,Australia,Asia-Pacific,SE Asia,33657.248366071,38703.8390016345,44619.7237489808,51105.4063253296,57719.6757039566,63996.3040908725,69568.8698863379,74239.0836985062,80847.0690351271,84577.3142581749,86530.1134568395,87512.7749677564,87997.501698753
12,Austria,Europe,Europe,35576.5248646528,39631.4549332973,44282.1425636034,49388.2413267931,54733.5472821375,60060.8117278635,65120.8277984849,69716.6306667799,77110.757723005,82106.3435519688,85210.2385523432,87041.432771488,88089.3373740628
13,Azerbaijan,Asia-Pacific,Eurasia,13251.7621989875,16302.7967084354,20135.5008047482,24745.1735972795,30029.5874027253,35807.0614059506,41867.0396130848,48024.057700036,60101.8266052528,71000.9923003653,79449.0973154574,84899.8005424114,87996.3224322118
14,Bahamas. The,Americas,N America,16942.875495555,17888.2553125767,19662.2473980355,22871.4310981783,28253.5739080689,36143.4756881296,45692.7728318599,55095.9582788377,69164.9655548726,77801.8958170017,83262.6208812801,86394.5694619143,88000.0138579948
15,Bahrain,Asia-Pacific,MENA,32799.1002726607,35302.2025798832,38267.4337672881,41701.5633537677,45574.3297546336,49811.8094080972,54297.7808051637,58884.9201974338,67735.9498637149,75315.9502074801,81136.8673667633,85253.4807496409,88001.7283617635
16,Bangladesh,Asia-Pacific,India_SAARC,2358.71360112451,3145.01843841874,4323.40512549415,6068.4380934272,8589.79055595675,12100.4986450087,16764.6092894473,22640.9824298553,37540.0971307038,54404.9910805143,69626.7853267056,80827.9084713581,87999.771859985
17,Barbados,Americas,N America,11759.10951726,12929.8593789768,14659.7425390612,17171.4625790376,20711.8382059538,25481.5409557154,31526.3517376446,38650.0580901782,54329.0296526057,68576.3899036437,78839.0319106829,84885.8199145213,87999.7784538168
18,Belarus,Europe,Eurasia,13777.481226284,17220.1524717577,21506.8002880963,26577.8345348128,32258.5214299709,38302.2665906841,44464.4886940671,50563.6558358711,62182.7931193807,72430.6130313266,80258.6185541879,85227.4720464877,87996.0661644953
19,Belgium,Europe,Europe,31015.7561500508,32897.6234312333,35339.4961721681,38431.6871962821,42224.7603149698,46695.8026861892,51721.7209153778,57077.8549635303,67610.679953783,76255.6332047379,82232.195271059,85903.2464805203,87999.9980598077
20,Belize,Americas,S America,6037.65890462092,6896.92233756459,8166.97865821329,10033.8009101251,12735.3944743132,16531.8120603851,21631.9073475439,28090.5837941425,44136.4821084461,60973.8604992188,74506.7667938869,83192.2626077559,87998.2002815209
21,Benin,Africa,Africa,1494.43378027066,1793.92630924178,2322.30670662005,3278.00387368795,5023.95788951498,8142.34184913041,13339.5969657471,21060.4362964936,42097.076557497,62674.7305715232,76725.12480139331,84360.6687552697,88000.0504517556
22,Bermuda,Americas,N America,39109.8081584751,43159.986790727,48117.4064904076,53789.7620082109,59798.8495500527,65670.0432995225,70976.0983715507,75449.3075427663,81713.2385312051,85122.2303991341,86817.6719937091,87623.5602035162,87998.4168048645
23,Bhutan,Asia-Pacific,India_SAARC,5908.762756311,7836.07095216958,10363.7290839612,13576.7496474661,17521.4150970258,22195.5336832875,27551.8133536395,33509.810857577,46766.6627319642,60552.1004658016,72749.6019771116,81880.2357830104,88001.3676770321
24,Bolivia,Americas,S America,4859.57472465569,5907.54150122765,7403.87421191619,9517.30804801898,12439.7922317199,16352.6702081122,21375.3363423269,27513.9279028631,42451.1128003648,58551.2926227806,72400.7433963518,82097.9701147265,88002.5683631095
25,Bosnia-Herzegovina,Europe,Europe,7421.64300667394,9292.84242652523,12029.3214845472,15884.3100047716,21017.8708613895,27382.6076395655,34681.7037688458,42456.1617288442,57672.2888669629,70500.9494367104,79665.5302198346,85151.2334768133,88042.0232076802
26,Botswana,Africa,Africa,11858.3426502217,13969.3496595559,16522.8358497981,19560.1444272559,23108.4912722086,27180.5418239803,31776.9480020641,36887.1019721116,48478.5922573243,61010.2969963539,72571.1868998605,81620.8621133006,88002.192789652
27,Bouvet Island (uninhabited),,,,,,,,,,,,,,,
28,Brazil,Americas,S America,11632.8435582618,13656.7401738281,16484.4247843234,20299.5588703652,25200.2144214587,31123.2958840263,37822.9668886425,44936.3594332022,58989.7767445152,71083.0888012292,79868.0995026161,85181.5646453989,88001.5963070079
29,Brunei,Asia-Pacific,SE Asia,51350.0130479086,53917.7452361335,56827.1833846735,60015.8579849889,63385.183272965,66810.6900720098,70159.7768497232,73311.8536408995,78692.1784826589,82641.2359328977,85294.4801868106,86973.8301609434,87997.2022776962
30,Bulgaria,Europe,Europe,13029.788634451,16516.2415209295,21198.8925939302,27054.6667062368,33790.9585003654,40916.2902395368,47933.5529301535,54513.3199134854,65995.3706824637,75242.7880949117,81894.1079109522,85884.2018660437,87971.8394368293
31,Myanmar former Burma,Asia-Pacific,SE Asia,2073.48671999295,3599.22149607889,5954.26623669495,9668.78801574807,15218.832776212,22657.292032681,31424.6218061217,40609.9010135294,57367.8683421182,70222.3652245095,79045.7402646802,84522.2794911607,87843.7044491039
32,Burundi,Africa,Africa,557.365115316781,610.88380434267,722.611737019619,969.571116842013,1559.22535998056,3066.77857498672,6879.79294796268,15105.8758890929,43842.6936237704,68277.9839120681,80507.2706326101,85783.0824346822,88000.0006132416
