Electricity per Capita [kWh/cap], , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Code,Countries,Continents,SRegion,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0,2051.0,2052.0,2053.0,2054.0,2055.0,2056.0,2057.0,2058.0,2059.0,2060.0,2061.0,2062.0,2063.0,2064.0,2065.0,2066.0,2067.0,2068.0,2069.0,2070.0,2071.0,2072.0,2073.0,2074.0,2075.0,2076.0,2077.0,2078.0,2079.0,2080.0,2081.0,2082.0,2083.0,2084.0,2085.0,2086.0,2087.0,2088.0,2089.0,2090.0,2091.0,2092.0,2093.0,2094.0,2095.0,2096.0,2097.0,2098.0,2099.0,2100.0
1,Afghanistan,Asia-Pacific,India_SAARC,,,,,137.101712079574,133.96693537417397,144.39548276741,162.606448123817,182.290259615168,203.637672327003,226.866561432127,252.225940504549,280.000519134989,310.515835848907,344.143987701191,381.309954460972,422.498480250429,468.261425757496,519.225436481912,576.099683934967,639.68332525265,710.8721920867,790.664064761572,880.1617199233989,980.572772758249,1093.20518924283,1219.45724875705,1360.8007288875797,1518.7562028578,1694.85962492229,1890.61985978126,2107.46749788474,2346.69616747537,2609.3985446485603,2896.4002704523,3208.1958691903505,3544.89136659305,3906.1584819149302,4291.20490843485,4698.764269659269,5127.10790368646,5574.07883859871,6037.1464021893,6513.47811693661,7000.02410680753,7493.608365241949,7991.02098965193,8489.10586046704,8984.83912553021,9475.39507586748,9958.19737485122,10430.9549491021,10887.9597139307,11331.2640721084,11759.5070926734,12171.6247770017,12566.8302388415,12944.5893450477,13304.5937867601,13646.7332112483,13971.0676828639,14277.8013943513,14567.2582411932,14839.8596144726,15096.104565829803,15336.5523491446,15561.8072413517,15772.5054811797,15969.3041309784,16152.871655112,16323.880011617,16482.9980663125,16630.8861559685,16768.1916464198,16895.5453506139,17013.558689296096,17122.8214927581,17223.900355629597,17317.3374681585,17403.6498570348,17483.328976866,17556.8406001981,17624.6249597761,17687.0971017772,17744.647413209495,17797.642290682605,17846.424921417005,17891.316150734896,17932.615413394,17970.601709022005,18005.5346045812,18042.4506309043
2,Albania,Europe,Europe,,,,2643.8736549809096,2627.23909271951,2659.39632617085,2784.36597387263,2897.72875194198,3020.23720341344,3152.29015297512,3294.25306559264,3446.44852845193,3609.1464269011,3782.55410122243,3966.8068187357,4161.95893193062,4367.97611335453,4584.72905774499,4811.98901841009,5049.42549678285,5296.60633207027,5553.00034484179,5817.9825792513,6090.84207015535,6370.79194169537,6656.98153143119,6948.51013693529,7244.44190675704,7543.8213498236,7845.68891930483,8149.09613885961,8453.11977876445,8756.87465246236,9059.52468490637,9360.29199629731,9658.46384192041,9953.39734475438,10244.5220472712,10531.3403884629,10813.4262790321,11090.4220004859,11362.0336922848,11628.0257157427,11888.2141951233,12142.4600367516,12390.6617174214,12632.7481154082,12868.6716323131,13098.4018229478,13321.919714634,13539.2129576768,13750.2719065028,13968.7322210089,14180.936331466,14386.869074384,14586.5120928015,14779.8445666267,14966.8446085161,15147.4911745844,15321.7663278329,15489.6576896498,15651.1609207819,15806.2820869777,15955.0397847047,16097.4669272125,16233.6121188446,16363.5405738998,16487.3345637198,16605.0934004706,16716.9329871426,16822.9849798713,16923.3956204736,17018.3243041607,17107.9419501103,17192.4292415579,17271.9747980361,17346.7733361328,17417.0238674243,17482.9279737603,17544.6881914307,17602.5065273864,17656.5831229798,17707.1150738493,17754.2954087312,17798.3122251774,17839.3479763762,17877.5789004304,17913.1745814665,17946.2976306885,17977.1034748575,18005.7402395329,18037.1766977073
3,Algeria,Africa,MENA,,,,,,1417.81639621593,1589.82325809062,1716.55419705437,1852.3198596842,1997.79842046477,2153.67910467463,2320.65164935862,2499.39327860666,2690.55310610572,2894.73401363917,3112.47223148421,3344.21506162146,3590.29742690031,3850.91818088121,4126.11734862005,4415.75565688348,4719.49781924966,5036.80103560131,5366.91002324424,5708.85960910612,6061.48548886068,6423.44322970833,6793.23500800522,7169.24299287876,7549.76777813319,7933.06988619541,8317.41216231653,8701.1008643379,9082.52342713402,9460.18121214485,9832.71599491602,10198.929442387,10557.7953322019,10908.4647217445,11250.2646508379,11582.6912398091,11905.3982187305,12218.1820005546,12520.964404974,12813.7740698643,13096.7274727874,13370.0103444566,13633.8601045659,13888.5497995861,14134.3738800789,14371.6360266672,14600.6391214628,14793.4336279322,14978.5429927804,15156.2285457594,15326.7310899967,15490.2702659211,15647.0451788733,15797.2360313428,15941.0065007866,16078.5066138244,16209.8758860005,16335.2465217096,16454.7464995503,16568.5024023746,16676.6418866775,16779.2957208358,16876.5993543877,16968.6940096807,17055.7273118234,17137.8534923854,17215.2332165294,17288.0330923984,17356.424926083,17420.5847860154,17480.6919379401,17536.9277065129,17589.4743128471,17638.5137296762,17684.2265878181,17726.7911598021,17766.3824391942,17803.1713275887,17837.3239355469,17869.0009990256,17898.3574090415,17925.5418493983,17950.6965351945,17973.9570434081,17995.4522260321,18015.3041958852,18038.4564619573
4,Andorra,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Angola,Africa,Africa,,,,,,,377.14810966349614,614.062124928061,735.916943162231,863.318393844162,996.455712705346,1135.50793647948,1280.64182909381,1432.00979974261,1589.74785005907,1753.97359043929,1924.78436741582,2102.25554464154,2286.43897935833,2477.36173407139,2675.02505945838,2879.40367930732,3090.44540155899,3308.07107146582,3532.17487367198,3762.62497994701,3999.26452869806,4241.91291163073,4490.36733243902,4744.40459262352,5003.78305090156,5268.24469561189,5537.51726442416,5811.31634289503,6089.3473732506,6371.30750743783,6656.88724409997,6945.77179770767,7237.64215953032,7532.1758242214,7829.04717215049,8127.9275157017,8428.48483688084,8730.38326287217,9033.28234465642,9336.83622032688,9640.6927581492,9944.49278353629,10247.8694979083,10550.4481950413,10851.8463714802,11151.6743118334,11425.4545223581,11696.8684711201,11965.5137813961,12230.9886994383,12492.8953447571,12750.8433336542,13004.4536567929,13253.3626739477,13497.2260796859,13735.7226932362,13968.5579340707,14195.4668609114,14416.2166745056,14630.6086116769,14838.4791876953,15039.7007737797,15234.1815245589,15421.8646949822,15602.7274063106,15776.7789357668,15944.0586139861,16104.633418806,16258.5953537067,16406.0586951199,16547.1571857594,16682.0412419662,16810.8752326857,16933.8348768353,17051.1047951127,17162.8762422023,17269.3450362013,17370.7096941097,17467.1697755017,17558.9244310355,17646.1711481951,17729.1046834997,17807.9161682261,17882.7923733305,17953.9151185842,18026.2879098522
6,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Antigua and Barbuda,Americas,N America,,,,,3254.7822527695002,3417.60872094492,3516.9839613678896,3629.53730268064,3751.4619020640002,3883.48210577774,4026.33066912178,4180.73581481808,4347.40521265694,4527.00675757069,4720.14620435428,4927.34196189129,5148.997654780509,5385.37341180677,5636.55721167515,5902.437965735059,6182.6822920162,6476.7170754915805,6783.719860062351,7102.6188377769,7432.10367779076,7770.64769673238,8116.54097944589,8467.93311550776,8822.88334354043,9179.415211916401,9535.57246634216,9889.47281427354,10239.3564926902,10583.6271282403,10920.8831376822,11249.9387633254,11569.8346657697,11879.8387164324,12179.4381863577,12468.3248894524,12746.3750107008,13013.6253579907,13270.247657527,13516.5223091465,13752.8127683996,13979.5414595412,14197.1678715253,14406.1692630452,14607.024210463,14800.1990762313,14986.1373533297,15165.251749308,15321.2651243952,15471.1684463605,15615.2586582094,15753.7929859072,15886.9909698425,16015.0375999178,16138.087260927,16256.2682108906,16369.6873371208,16478.4349621747,16582.5895035198,16682.2218254344,16777.3991579609,16868.1884941099,16954.659411435,17036.8862962178,17114.9499766832,17188.9387950979,17258.949166867,17325.0856877231,17387.4608580498,17446.1944967687,17501.412916722,17553.247929872396,17601.8357447131,17647.315810809298,17689.8296570749,17729.5197618042,17766.5284841136,17800.9970786337,17833.064808285,17862.8681638831,17890.5401942287,17916.2099462135,17940.0020112792,17962.0361721938,17982.4271424738,18001.2843897587,18018.712033926797,18039.636992898195
8,Area under dispute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Argentina,Americas,S America,,,,,,,3042.742898818431,3350.6872057284,3568.16467878222,3800.25476628016,4047.21720840978,4309.14189996342,4585.92306597847,4877.23711329966,5182.52607006672,5500.98844178085,5831.57902905738,6173.01876619182,6523.81497982459,6882.2916930469,7246.62879690025,7614.90817544446,7985.16429547747,8355.43643004979,8723.81961504493,9088.51163954103,9447.8538049052,9800.36378739407,10144.7596221634,10479.9745103869,10805.1627652358,11119.697706832,11423.1626646841,11715.3364445621,11996.1746789619,12265.7884315327,12524.4212967382,12772.4260574208,13010.2417621799,13238.371883298,13457.3640298403,13667.7915289678,13870.2370558403,14065.2783891909,14253.4762934565,14435.3644753186,14611.4415279148,14782.16475499,14947.945755359,15109.147641397,15266.0837608672,15419.0177870974,15547.2295290258,15671.8238545683,15792.9274909781,15910.6286202306,16024.981558511,16136.0118529249,16243.7216194104,16348.0949495167,16449.1032226848,16546.7101750525,16640.8765951675,16731.5645404557,16818.7409946066,16902.380913713,16982.4696365156,17059.0046599825,17131.9968044638,17201.4708118809,17267.4654352498,17330.0330880959,17389.2391281005,17445.1608510216,17497.8862691145,17547.5127436653,17594.1455345461,17637.8963216642,17678.8817444232,17717.2219964335,17753.0395041209,17786.4577099325,17817.5999737365,17846.5885998868,17873.5439923162,17898.5839359154,17921.8229992871,17943.3720516428,17963.337885024,17981.822932072,17998.9250691137,18019.564045578
