,Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2015-01-01 00:00:00,0,3,1,2015,283.48096,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 01:00:00,1,3,1,2015,283.266,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 02:00:00,2,3,1,2015,282.72546,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 03:00:00,3,3,1,2015,282.552,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 04:00:00,4,3,1,2015,282.35156,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 05:00:00,5,3,1,2015,282.2716,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 06:00:00,6,3,1,2015,282.3396,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 07:00:00,7,3,1,2015,282.77454,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 08:00:00,8,3,1,2015,283.09937,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 09:00:00,9,3,1,2015,283.8534,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 10:00:00,10,3,1,2015,284.12573,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 11:00:00,11,3,1,2015,284.74377,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 12:00:00,12,3,1,2015,284.91394,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 13:00:00,13,3,1,2015,284.89026,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 14:00:00,14,3,1,2015,285.00256,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 15:00:00,15,3,1,2015,285.55432,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 16:00:00,16,3,1,2015,286.12585,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 17:00:00,17,3,1,2015,286.28772,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 18:00:00,18,3,1,2015,286.4773,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 19:00:00,19,3,1,2015,286.42224,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 20:00:00,20,3,1,2015,286.34253,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 21:00:00,21,3,1,2015,285.32153,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 22:00:00,22,3,1,2015,282.81384,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-01 23:00:00,23,3,1,2015,281.82812,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-02 00:00:00,0,4,1,2015,280.70288,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
2015-01-02 01:00:00,1,4,1,2015,279.59802,277.86023,11.0,282.7154,275.27451171875,289.2632690429688
