,Local hour of the day,Local day of the week,Local month of the year,Local year,Temperature (K),Monthly average temperature (K),Monthly average temperature rank,Annual average temperature (K),5 percentile temperature (K),95 percentile temperature (K)
2014-12-31 22:00:00,0,3,1,2015,255.11522,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2014-12-31 23:00:00,1,3,1,2015,254.51767,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 00:00:00,2,3,1,2015,254.27393,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 01:00:00,3,3,1,2015,254.01404,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 02:00:00,4,3,1,2015,253.42268,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 03:00:00,5,3,1,2015,252.63397,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 04:00:00,6,3,1,2015,252.40042,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 05:00:00,7,3,1,2015,252.17587,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 06:00:00,8,3,1,2015,253.81221,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 07:00:00,9,3,1,2015,254.11823,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 08:00:00,10,3,1,2015,256.1501,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 09:00:00,11,3,1,2015,256.9334,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 10:00:00,12,3,1,2015,258.9751,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 11:00:00,13,3,1,2015,260.12256,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 12:00:00,14,3,1,2015,261.44507,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 13:00:00,15,3,1,2015,261.89795,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 14:00:00,16,3,1,2015,261.92822,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 15:00:00,17,3,1,2015,261.85498,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 16:00:00,18,3,1,2015,261.8191,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 17:00:00,19,3,1,2015,261.8131,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 18:00:00,20,3,1,2015,262.3777,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 19:00:00,21,3,1,2015,262.95737,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 20:00:00,22,3,1,2015,263.29175,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 21:00:00,23,3,1,2015,263.58908,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 22:00:00,0,4,1,2015,264.22992,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-01 23:00:00,1,4,1,2015,264.43948,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 00:00:00,2,4,1,2015,265.576,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 01:00:00,3,4,1,2015,265.725,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 02:00:00,4,4,1,2015,265.88715,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 03:00:00,5,4,1,2015,265.9932,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 04:00:00,6,4,1,2015,266.1572,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 05:00:00,7,4,1,2015,266.15622,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 06:00:00,8,4,1,2015,267.69006,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 07:00:00,9,4,1,2015,267.8441,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 08:00:00,10,4,1,2015,267.63477,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 09:00:00,11,4,1,2015,267.44897,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
2015-01-02 10:00:00,12,4,1,2015,268.77295,272.37967,12.0,285.86472,271.50706787109374,302.8979736328125
