Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity generation [MW]
2015-01-03 04:00:00,6,5,1,2015,327.5
2015-01-03 05:00:00,7,5,1,2015,348.75
2015-01-03 06:00:00,8,5,1,2015,392.25
2015-01-03 07:00:00,9,5,1,2015,422.25
2015-01-03 08:00:00,10,5,1,2015,446.5
2015-01-03 09:00:00,11,5,1,2015,468.5
2015-01-03 10:00:00,12,5,1,2015,492.25
2015-01-03 11:00:00,13,5,1,2015,513.0
2015-01-03 12:00:00,14,5,1,2015,489.75
2015-01-03 13:00:00,15,5,1,2015,483.0
2015-01-03 14:00:00,16,5,1,2015,509.25
2015-01-03 15:00:00,17,5,1,2015,583.75
2015-01-03 16:00:00,18,5,1,2015,622.25
2015-01-03 17:00:00,19,5,1,2015,614.25
2015-01-03 18:00:00,20,5,1,2015,587.5
2015-01-03 19:00:00,21,5,1,2015,560.75
2015-01-03 20:00:00,22,5,1,2015,532.5
2015-01-03 21:00:00,23,5,1,2015,501.0
2015-01-03 22:00:00,0,6,1,2015,450.75
2015-01-03 23:00:00,1,6,1,2015,397.5
2015-01-04 00:00:00,2,6,1,2015,361.25
2015-01-04 01:00:00,3,6,1,2015,341.25
2015-01-04 02:00:00,4,6,1,2015,331.25
2015-01-04 03:00:00,5,6,1,2015,330.25
2015-01-04 04:00:00,6,6,1,2015,326.5
2015-01-04 05:00:00,7,6,1,2015,336.0
2015-01-04 06:00:00,8,6,1,2015,354.25
2015-01-04 07:00:00,9,6,1,2015,370.75
2015-01-04 08:00:00,10,6,1,2015,398.0
2015-01-04 09:00:00,11,6,1,2015,416.0
2015-01-04 10:00:00,12,6,1,2015,412.25
2015-01-04 11:00:00,13,6,1,2015,405.75
2015-01-04 12:00:00,14,6,1,2015,400.25
2015-01-04 13:00:00,15,6,1,2015,419.25
2015-01-04 14:00:00,16,6,1,2015,436.25
2015-01-04 15:00:00,17,6,1,2015,518.75
2015-01-04 16:00:00,18,6,1,2015,573.75
2015-01-04 17:00:00,19,6,1,2015,575.25
2015-01-04 18:00:00,20,6,1,2015,564.5
2015-01-04 19:00:00,21,6,1,2015,551.5
2015-01-04 20:00:00,22,6,1,2015,523.0
2015-01-04 21:00:00,23,6,1,2015,485.0
2015-01-04 22:00:00,0,0,1,2015,430.75
2015-01-04 23:00:00,1,0,1,2015,373.75
2015-01-05 00:00:00,2,0,1,2015,341.75
2015-01-05 01:00:00,3,0,1,2015,323.0
2015-01-05 02:00:00,4,0,1,2015,318.5
2015-01-05 03:00:00,5,0,1,2015,327.25
2015-01-05 04:00:00,6,0,1,2015,353.25
2015-01-05 05:00:00,7,0,1,2015,411.0
2015-01-05 06:00:00,8,0,1,2015,491.25
2015-01-05 07:00:00,9,0,1,2015,542.5
2015-01-05 08:00:00,10,0,1,2015,562.5
2015-01-05 09:00:00,11,0,1,2015,581.5
2015-01-05 10:00:00,12,0,1,2015,597.25
2015-01-05 11:00:00,13,0,1,2015,602.75
2015-01-05 12:00:00,14,0,1,2015,607.75
2015-01-05 13:00:00,15,0,1,2015,611.75
2015-01-05 14:00:00,16,0,1,2015,620.25
2015-01-05 15:00:00,17,0,1,2015,657.75
2015-01-05 16:00:00,18,0,1,2015,674.75
2015-01-05 17:00:00,19,0,1,2015,657.75
2015-01-05 18:00:00,20,0,1,2015,621.5
2015-01-05 19:00:00,21,0,1,2015,588.75
2015-01-05 20:00:00,22,0,1,2015,543.75
2015-01-05 21:00:00,23,0,1,2015,491.5
2015-01-05 22:00:00,0,1,1,2015,431.5
2015-01-05 23:00:00,1,1,1,2015,374.25
2015-01-06 00:00:00,2,1,1,2015,337.25
2015-01-06 01:00:00,3,1,1,2015,316.75
2015-01-06 02:00:00,4,1,1,2015,308.5
2015-01-06 03:00:00,5,1,1,2015,308.75
2015-01-06 04:00:00,6,1,1,2015,310.25
2015-01-06 05:00:00,7,1,1,2015,325.5
2015-01-06 06:00:00,8,1,1,2015,352.75
2015-01-06 07:00:00,9,1,1,2015,373.0
2015-01-06 08:00:00,10,1,1,2015,401.25
2015-01-06 09:00:00,11,1,1,2015,460.25
2015-01-06 10:00:00,12,1,1,2015,484.25
2015-01-06 11:00:00,13,1,1,2015,481.25
2015-01-06 12:00:00,14,1,1,2015,464.75
2015-01-06 13:00:00,15,1,1,2015,461.0
2015-01-06 14:00:00,16,1,1,2015,468.0
2015-01-06 15:00:00,17,1,1,2015,538.25
2015-01-06 16:00:00,18,1,1,2015,593.25
2015-01-06 17:00:00,19,1,1,2015,601.5
2015-01-06 18:00:00,20,1,1,2015,589.25
2015-01-06 19:00:00,21,1,1,2015,573.75
2015-01-06 20:00:00,22,1,1,2015,533.0
2015-01-06 21:00:00,23,1,1,2015,486.0
2015-01-06 22:00:00,0,2,1,2015,423.75
2015-01-06 23:00:00,1,2,1,2015,368.5
2015-01-07 00:00:00,2,2,1,2015,335.0
2015-01-07 01:00:00,3,2,1,2015,317.75
2015-01-07 02:00:00,4,2,1,2015,316.25
2015-01-07 03:00:00,5,2,1,2015,331.5
2015-01-07 04:00:00,6,2,1,2015,387.25
2015-01-07 05:00:00,7,2,1,2015,471.75
2015-01-07 06:00:00,8,2,1,2015,539.25
2015-01-07 07:00:00,9,2,1,2015,565.75
2015-01-07 08:00:00,10,2,1,2015,576.25
2015-01-07 09:00:00,11,2,1,2015,590.25
2015-01-07 10:00:00,12,2,1,2015,597.75
2015-01-07 11:00:00,13,2,1,2015,582.75
2015-01-07 12:00:00,14,2,1,2015,592.75
2015-01-07 13:00:00,15,2,1,2015,608.0
2015-01-07 14:00:00,16,2,1,2015,612.0
2015-01-07 15:00:00,17,2,1,2015,688.25
2015-01-07 16:00:00,18,2,1,2015,733.75
2015-01-07 17:00:00,19,2,1,2015,729.5
2015-01-07 18:00:00,20,2,1,2015,698.0
2015-01-07 19:00:00,21,2,1,2015,666.0
2015-01-07 20:00:00,22,2,1,2015,612.25
2015-01-07 21:00:00,23,2,1,2015,546.0
2015-01-07 22:00:00,0,3,1,2015,475.75
2015-01-07 23:00:00,1,3,1,2015,415.0
2015-01-08 00:00:00,2,3,1,2015,379.0
2015-01-08 01:00:00,3,3,1,2015,360.0
2015-01-08 02:00:00,4,3,1,2015,354.0
2015-01-08 03:00:00,5,3,1,2015,365.25
2015-01-08 04:00:00,6,3,1,2015,421.0
2015-01-08 05:00:00,7,3,1,2015,505.5
2015-01-08 06:00:00,8,3,1,2015,571.0
2015-01-08 07:00:00,9,3,1,2015,593.5
2015-01-08 08:00:00,10,3,1,2015,594.5
2015-01-08 09:00:00,11,3,1,2015,614.5
2015-01-08 10:00:00,12,3,1,2015,640.75
2015-01-08 11:00:00,13,3,1,2015,643.0
2015-01-08 12:00:00,14,3,1,2015,654.75
2015-01-08 13:00:00,15,3,1,2015,666.5
2015-01-08 14:00:00,16,3,1,2015,678.25
2015-01-08 15:00:00,17,3,1,2015,741.75
2015-01-08 16:00:00,18,3,1,2015,787.25
2015-01-08 17:00:00,19,3,1,2015,785.5
2015-01-08 18:00:00,20,3,1,2015,756.0
2015-01-08 19:00:00,21,3,1,2015,724.75
2015-01-08 20:00:00,22,3,1,2015,669.25
2015-01-08 21:00:00,23,3,1,2015,602.5
2015-01-08 22:00:00,0,4,1,2015,526.75
2015-01-08 23:00:00,1,4,1,2015,459.5
2015-01-09 00:00:00,2,4,1,2015,417.25
2015-01-09 01:00:00,3,4,1,2015,390.0
2015-01-09 02:00:00,4,4,1,2015,382.5
2015-01-09 03:00:00,5,4,1,2015,393.75
2015-01-09 04:00:00,6,4,1,2015,452.25
2015-01-09 05:00:00,7,4,1,2015,536.25
2015-01-09 06:00:00,8,4,1,2015,594.75
2015-01-09 07:00:00,9,4,1,2015,609.5
2015-01-09 08:00:00,10,4,1,2015,611.0
2015-01-09 09:00:00,11,4,1,2015,617.5
2015-01-09 10:00:00,12,4,1,2015,627.25
2015-01-09 11:00:00,13,4,1,2015,619.75
2015-01-09 12:00:00,14,4,1,2015,617.0
2015-01-09 13:00:00,15,4,1,2015,624.25
2015-01-09 14:00:00,16,4,1,2015,633.25
2015-01-09 15:00:00,17,4,1,2015,723.5
2015-01-09 16:00:00,18,4,1,2015,784.5
2015-01-09 17:00:00,19,4,1,2015,779.25
2015-01-09 18:00:00,20,4,1,2015,745.25
2015-01-09 19:00:00,21,4,1,2015,712.75
2015-01-09 20:00:00,22,4,1,2015,674.5
2015-01-09 21:00:00,23,4,1,2015,624.75
2015-01-09 22:00:00,0,5,1,2015,555.5
2015-01-09 23:00:00,1,5,1,2015,487.0
2015-01-10 00:00:00,2,5,1,2015,445.5
2015-01-10 01:00:00,3,5,1,2015,419.25
2015-01-10 02:00:00,4,5,1,2015,410.25
2015-01-10 03:00:00,5,5,1,2015,405.25
2015-01-10 04:00:00,6,5,1,2015,405.75
2015-01-10 05:00:00,7,5,1,2015,431.75
2015-01-10 06:00:00,8,5,1,2015,499.0
2015-01-10 07:00:00,9,5,1,2015,583.0
2015-01-10 08:00:00,10,5,1,2015,628.5
2015-01-10 09:00:00,11,5,1,2015,666.25
2015-01-10 10:00:00,12,5,1,2015,691.0
2015-01-10 11:00:00,13,5,1,2015,701.75
2015-01-10 12:00:00,14,5,1,2015,695.5
2015-01-10 13:00:00,15,5,1,2015,698.0
2015-01-10 14:00:00,16,5,1,2015,688.25
2015-01-10 15:00:00,17,5,1,2015,728.25
2015-01-10 16:00:00,18,5,1,2015,758.0
2015-01-10 17:00:00,19,5,1,2015,747.25
2015-01-10 18:00:00,20,5,1,2015,714.25
2015-01-10 19:00:00,21,5,1,2015,687.0
2015-01-10 20:00:00,22,5,1,2015,653.25
2015-01-10 21:00:00,23,5,1,2015,617.5
2015-01-10 22:00:00,0,6,1,2015,557.25
2015-01-10 23:00:00,1,6,1,2015,489.5
2015-01-11 00:00:00,2,6,1,2015,440.25
2015-01-11 01:00:00,3,6,1,2015,409.75
2015-01-11 02:00:00,4,6,1,2015,394.25
2015-01-11 03:00:00,5,6,1,2015,388.75
2015-01-11 04:00:00,6,6,1,2015,384.0
2015-01-11 05:00:00,7,6,1,2015,394.5
2015-01-11 06:00:00,8,6,1,2015,416.5
2015-01-11 07:00:00,9,6,1,2015,437.25
2015-01-11 08:00:00,10,6,1,2015,467.0
2015-01-11 09:00:00,11,6,1,2015,496.25
2015-01-11 10:00:00,12,6,1,2015,502.25
2015-01-11 11:00:00,13,6,1,2015,492.25
2015-01-11 12:00:00,14,6,1,2015,486.25
2015-01-11 13:00:00,15,6,1,2015,497.25
2015-01-11 14:00:00,16,6,1,2015,512.5
2015-01-11 15:00:00,17,6,1,2015,596.5
2015-01-11 16:00:00,18,6,1,2015,672.0
2015-01-11 17:00:00,19,6,1,2015,678.75
2015-01-11 18:00:00,20,6,1,2015,668.5
2015-01-11 19:00:00,21,6,1,2015,661.75
2015-01-11 20:00:00,22,6,1,2015,627.5
2015-01-11 21:00:00,23,6,1,2015,579.0
2015-01-11 22:00:00,0,0,1,2015,513.0
2015-01-11 23:00:00,1,0,1,2015,447.25
2015-01-12 00:00:00,2,0,1,2015,407.0
2015-01-12 01:00:00,3,0,1,2015,384.25
2015-01-12 02:00:00,4,0,1,2015,377.5
2015-01-12 03:00:00,5,0,1,2015,387.25
2015-01-12 04:00:00,6,0,1,2015,441.75
2015-01-12 05:00:00,7,0,1,2015,524.25
2015-01-12 06:00:00,8,0,1,2015,590.0
2015-01-12 07:00:00,9,0,1,2015,628.75
2015-01-12 08:00:00,10,0,1,2015,638.0
2015-01-12 09:00:00,11,0,1,2015,650.75
2015-01-12 10:00:00,12,0,1,2015,670.5
2015-01-12 11:00:00,13,0,1,2015,679.0
2015-01-12 12:00:00,14,0,1,2015,688.0
2015-01-12 13:00:00,15,0,1,2015,697.25
2015-01-12 14:00:00,16,0,1,2015,693.0
2015-01-12 15:00:00,17,0,1,2015,736.75
2015-01-12 16:00:00,18,0,1,2015,767.5
2015-01-12 17:00:00,19,0,1,2015,756.5
2015-01-12 18:00:00,20,0,1,2015,727.75
2015-01-12 19:00:00,21,0,1,2015,700.75
2015-01-12 20:00:00,22,0,1,2015,646.5
2015-01-12 21:00:00,23,0,1,2015,578.0
2015-01-12 22:00:00,0,1,1,2015,499.25
2015-01-12 23:00:00,1,1,1,2015,434.5
2015-01-13 00:00:00,2,1,1,2015,392.25
2015-01-13 01:00:00,3,1,1,2015,370.0
2015-01-13 02:00:00,4,1,1,2015,362.5
2015-01-13 03:00:00,5,1,1,2015,373.25
2015-01-13 04:00:00,6,1,1,2015,428.75
2015-01-13 05:00:00,7,1,1,2015,519.5
2015-01-13 06:00:00,8,1,1,2015,607.0
2015-01-13 07:00:00,9,1,1,2015,655.25
2015-01-13 08:00:00,10,1,1,2015,679.0
2015-01-13 09:00:00,11,1,1,2015,701.5
2015-01-13 10:00:00,12,1,1,2015,724.5
2015-01-13 11:00:00,13,1,1,2015,717.75
2015-01-13 12:00:00,14,1,1,2015,726.25
2015-01-13 13:00:00,15,1,1,2015,730.0
2015-01-13 14:00:00,16,1,1,2015,713.0
2015-01-13 15:00:00,17,1,1,2015,751.25
2015-01-13 16:00:00,18,1,1,2015,788.5
2015-01-13 17:00:00,19,1,1,2015,776.75
2015-01-13 18:00:00,20,1,1,2015,745.5
2015-01-13 19:00:00,21,1,1,2015,709.5
2015-01-13 20:00:00,22,1,1,2015,653.75
2015-01-13 21:00:00,23,1,1,2015,586.5
2015-01-13 22:00:00,0,2,1,2015,512.25
2015-01-13 23:00:00,1,2,1,2015,445.25
2015-01-14 00:00:00,2,2,1,2015,404.25
2015-01-14 01:00:00,3,2,1,2015,383.0
2015-01-14 02:00:00,4,2,1,2015,374.5
2015-01-14 03:00:00,5,2,1,2015,385.5
2015-01-14 04:00:00,6,2,1,2015,440.0
2015-01-14 05:00:00,7,2,1,2015,524.25
2015-01-14 06:00:00,8,2,1,2015,601.25
2015-01-14 07:00:00,9,2,1,2015,642.5
2015-01-14 08:00:00,10,2,1,2015,661.5
2015-01-14 09:00:00,11,2,1,2015,686.0
2015-01-14 10:00:00,12,2,1,2015,703.5
2015-01-14 11:00:00,13,2,1,2015,695.5
2015-01-14 12:00:00,14,2,1,2015,700.0
2015-01-14 13:00:00,15,2,1,2015,691.0
2015-01-14 14:00:00,16,2,1,2015,680.25
2015-01-14 15:00:00,17,2,1,2015,724.5
2015-01-14 16:00:00,18,2,1,2015,763.25
2015-01-14 17:00:00,19,2,1,2015,759.25
2015-01-14 18:00:00,20,2,1,2015,730.25
2015-01-14 19:00:00,21,2,1,2015,696.5
2015-01-14 20:00:00,22,2,1,2015,644.0
2015-01-14 21:00:00,23,2,1,2015,579.0
2015-01-14 22:00:00,0,3,1,2015,508.0
2015-01-14 23:00:00,1,3,1,2015,444.5
2015-01-15 00:00:00,2,3,1,2015,404.0
2015-01-15 01:00:00,3,3,1,2015,384.75
2015-01-15 02:00:00,4,3,1,2015,377.5
2015-01-15 03:00:00,5,3,1,2015,388.5
2015-01-15 04:00:00,6,3,1,2015,442.25
2015-01-15 05:00:00,7,3,1,2015,526.5
2015-01-15 06:00:00,8,3,1,2015,587.75
2015-01-15 07:00:00,9,3,1,2015,586.5
2015-01-15 08:00:00,10,3,1,2015,585.5
2015-01-15 09:00:00,11,3,1,2015,600.75
2015-01-15 10:00:00,12,3,1,2015,620.5
2015-01-15 11:00:00,13,3,1,2015,628.25
2015-01-15 12:00:00,14,3,1,2015,624.25
2015-01-15 13:00:00,15,3,1,2015,619.25
2015-01-15 14:00:00,16,3,1,2015,615.5
2015-01-15 15:00:00,17,3,1,2015,678.75
2015-01-15 16:00:00,18,3,1,2015,734.25
2015-01-15 17:00:00,19,3,1,2015,731.0
2015-01-15 18:00:00,20,3,1,2015,706.5
2015-01-15 19:00:00,21,3,1,2015,680.0
2015-01-15 20:00:00,22,3,1,2015,633.0
2015-01-15 21:00:00,23,3,1,2015,569.75
2015-01-15 22:00:00,0,4,1,2015,499.75
2015-01-15 23:00:00,1,4,1,2015,437.5
2015-01-16 00:00:00,2,4,1,2015,398.0
2015-01-16 01:00:00,3,4,1,2015,377.25
2015-01-16 02:00:00,4,4,1,2015,371.0
2015-01-16 03:00:00,5,4,1,2015,383.25
2015-01-16 04:00:00,6,4,1,2015,436.75
2015-01-16 05:00:00,7,4,1,2015,517.75
2015-01-16 06:00:00,8,4,1,2015,562.25
2015-01-16 07:00:00,9,4,1,2015,560.25
2015-01-16 08:00:00,10,4,1,2015,547.25
2015-01-16 09:00:00,11,4,1,2015,552.0
2015-01-16 10:00:00,12,4,1,2015,556.75
2015-01-16 11:00:00,13,4,1,2015,546.0
2015-01-16 12:00:00,14,4,1,2015,549.5
2015-01-16 13:00:00,15,4,1,2015,571.5
2015-01-16 14:00:00,16,4,1,2015,609.25
2015-01-16 15:00:00,17,4,1,2015,664.25
2015-01-16 16:00:00,18,4,1,2015,705.75
2015-01-16 17:00:00,19,4,1,2015,695.5
2015-01-16 18:00:00,20,4,1,2015,661.75
2015-01-16 19:00:00,21,4,1,2015,632.5
2015-01-16 20:00:00,22,4,1,2015,601.75
2015-01-16 21:00:00,23,4,1,2015,555.75
2015-01-16 22:00:00,0,5,1,2015,496.5
2015-01-16 23:00:00,1,5,1,2015,434.75
2015-01-17 00:00:00,2,5,1,2015,394.0
2015-01-17 01:00:00,3,5,1,2015,372.0
2015-01-17 02:00:00,4,5,1,2015,363.25
2015-01-17 03:00:00,5,5,1,2015,364.0
2015-01-17 04:00:00,6,5,1,2015,365.25
2015-01-17 05:00:00,7,5,1,2015,395.75
2015-01-17 06:00:00,8,5,1,2015,450.0
2015-01-17 07:00:00,9,5,1,2015,505.25
2015-01-17 08:00:00,10,5,1,2015,518.5
2015-01-17 09:00:00,11,5,1,2015,503.25
2015-01-17 10:00:00,12,5,1,2015,509.25
2015-01-17 11:00:00,13,5,1,2015,523.75
2015-01-17 12:00:00,14,5,1,2015,509.75
2015-01-17 13:00:00,15,5,1,2015,512.25
2015-01-17 14:00:00,16,5,1,2015,526.5
2015-01-17 15:00:00,17,5,1,2015,588.25
2015-01-17 16:00:00,18,5,1,2015,645.0
2015-01-17 17:00:00,19,5,1,2015,641.75
2015-01-17 18:00:00,20,5,1,2015,612.5
2015-01-17 19:00:00,21,5,1,2015,592.25
2015-01-17 20:00:00,22,5,1,2015,577.0
2015-01-17 21:00:00,23,5,1,2015,547.0
2015-01-17 22:00:00,0,6,1,2015,492.5
2015-01-17 23:00:00,1,6,1,2015,431.25
2015-01-18 00:00:00,2,6,1,2015,390.5
2015-01-18 01:00:00,3,6,1,2015,367.75
2015-01-18 02:00:00,4,6,1,2015,359.75
2015-01-18 03:00:00,5,6,1,2015,358.25
2015-01-18 04:00:00,6,6,1,2015,352.25
2015-01-18 05:00:00,7,6,1,2015,363.0
2015-01-18 06:00:00,8,6,1,2015,373.0
2015-01-18 07:00:00,9,6,1,2015,376.5
2015-01-18 08:00:00,10,6,1,2015,390.25
2015-01-18 09:00:00,11,6,1,2015,409.25
2015-01-18 10:00:00,12,6,1,2015,417.25
2015-01-18 11:00:00,13,6,1,2015,415.75
2015-01-18 12:00:00,14,6,1,2015,404.75
2015-01-18 13:00:00,15,6,1,2015,407.5
2015-01-18 14:00:00,16,6,1,2015,425.75
2015-01-18 15:00:00,17,6,1,2015,501.5
2015-01-18 16:00:00,18,6,1,2015,579.0
2015-01-18 17:00:00,19,6,1,2015,596.75
2015-01-18 18:00:00,20,6,1,2015,590.75
2015-01-18 19:00:00,21,6,1,2015,580.75
2015-01-18 20:00:00,22,6,1,2015,554.0
2015-01-18 21:00:00,23,6,1,2015,509.75
2015-01-18 22:00:00,0,0,1,2015,451.25
2015-01-18 23:00:00,1,0,1,2015,394.25
2015-01-19 00:00:00,2,0,1,2015,358.5
2015-01-19 01:00:00,3,0,1,2015,343.0
2015-01-19 02:00:00,4,0,1,2015,340.25
2015-01-19 03:00:00,5,0,1,2015,355.0
2015-01-19 04:00:00,6,0,1,2015,405.5
2015-01-19 05:00:00,7,0,1,2015,482.75
2015-01-19 06:00:00,8,0,1,2015,527.25
2015-01-19 07:00:00,9,0,1,2015,537.75
2015-01-19 08:00:00,10,0,1,2015,528.75
2015-01-19 09:00:00,11,0,1,2015,525.75
2015-01-19 10:00:00,12,0,1,2015,537.25
2015-01-19 11:00:00,13,0,1,2015,535.75
2015-01-19 12:00:00,14,0,1,2015,546.25
2015-01-19 13:00:00,15,0,1,2015,565.25
2015-01-19 14:00:00,16,0,1,2015,565.5
2015-01-19 15:00:00,17,0,1,2015,617.0
2015-01-19 16:00:00,18,0,1,2015,673.0
2015-01-19 17:00:00,19,0,1,2015,674.0
2015-01-19 18:00:00,20,0,1,2015,653.5
2015-01-19 19:00:00,21,0,1,2015,625.0
2015-01-19 20:00:00,22,0,1,2015,575.5
2015-01-19 21:00:00,23,0,1,2015,513.25
2015-01-19 22:00:00,0,1,1,2015,450.25
2015-01-19 23:00:00,1,1,1,2015,394.5
2015-01-20 00:00:00,2,1,1,2015,360.25
2015-01-20 01:00:00,3,1,1,2015,343.75
2015-01-20 02:00:00,4,1,1,2015,341.5
2015-01-20 03:00:00,5,1,1,2015,355.75
2015-01-20 04:00:00,6,1,1,2015,410.0
2015-01-20 05:00:00,7,1,1,2015,483.5
2015-01-20 06:00:00,8,1,1,2015,516.75
2015-01-20 07:00:00,9,1,1,2015,506.25
2015-01-20 08:00:00,10,1,1,2015,488.75
2015-01-20 09:00:00,11,1,1,2015,484.0
2015-01-20 10:00:00,12,1,1,2015,486.5
2015-01-20 11:00:00,13,1,1,2015,481.0
2015-01-20 12:00:00,14,1,1,2015,474.75
2015-01-20 13:00:00,15,1,1,2015,472.75
2015-01-20 14:00:00,16,1,1,2015,485.25
2015-01-20 15:00:00,17,1,1,2015,554.5
2015-01-20 16:00:00,18,1,1,2015,628.75
2015-01-20 17:00:00,19,1,1,2015,634.0
2015-01-20 18:00:00,20,1,1,2015,616.5
2015-01-20 19:00:00,21,1,1,2015,591.0
2015-01-20 20:00:00,22,1,1,2015,551.5
2015-01-20 21:00:00,23,1,1,2015,493.5
2015-01-20 22:00:00,0,2,1,2015,433.25
2015-01-20 23:00:00,1,2,1,2015,378.25
2015-01-21 00:00:00,2,2,1,2015,348.5
2015-01-21 01:00:00,3,2,1,2015,334.5
2015-01-21 02:00:00,4,2,1,2015,332.75
2015-01-21 03:00:00,5,2,1,2015,347.5
2015-01-21 04:00:00,6,2,1,2015,390.75
2015-01-21 05:00:00,7,2,1,2015,459.0
2015-01-21 06:00:00,8,2,1,2015,495.75
2015-01-21 07:00:00,9,2,1,2015,495.75
2015-01-21 08:00:00,10,2,1,2015,485.75
2015-01-21 09:00:00,11,2,1,2015,484.0
2015-01-21 10:00:00,12,2,1,2015,483.25
2015-01-21 11:00:00,13,2,1,2015,477.0
2015-01-21 12:00:00,14,2,1,2015,474.75
2015-01-21 13:00:00,15,2,1,2015,475.5
2015-01-21 14:00:00,16,2,1,2015,491.5
2015-01-21 15:00:00,17,2,1,2015,556.25
2015-01-21 16:00:00,18,2,1,2015,624.5
2015-01-21 17:00:00,19,2,1,2015,626.25
2015-01-21 18:00:00,20,2,1,2015,604.5
2015-01-21 19:00:00,21,2,1,2015,576.75
2015-01-21 20:00:00,22,2,1,2015,538.75
2015-01-21 21:00:00,23,2,1,2015,485.0
2015-01-21 22:00:00,0,3,1,2015,427.25
2015-01-21 23:00:00,1,3,1,2015,375.0
2015-01-22 00:00:00,2,3,1,2015,344.5
2015-01-22 01:00:00,3,3,1,2015,330.75
2015-01-22 02:00:00,4,3,1,2015,330.25
2015-01-22 03:00:00,5,3,1,2015,345.5
2015-01-22 04:00:00,6,3,1,2015,391.5
2015-01-22 05:00:00,7,3,1,2015,462.5
2015-01-22 06:00:00,8,3,1,2015,495.75
2015-01-22 07:00:00,9,3,1,2015,490.25
2015-01-22 08:00:00,10,3,1,2015,475.5
2015-01-22 09:00:00,11,3,1,2015,477.0
2015-01-22 10:00:00,12,3,1,2015,478.5
2015-01-22 11:00:00,13,3,1,2015,471.25
2015-01-22 12:00:00,14,3,1,2015,466.25
2015-01-22 13:00:00,15,3,1,2015,464.0
2015-01-22 14:00:00,16,3,1,2015,479.25
2015-01-22 15:00:00,17,3,1,2015,549.25
2015-01-22 16:00:00,18,3,1,2015,618.5
2015-01-22 17:00:00,19,3,1,2015,621.0
2015-01-22 18:00:00,20,3,1,2015,600.75
2015-01-22 19:00:00,21,3,1,2015,573.5
2015-01-22 20:00:00,22,3,1,2015,536.25
2015-01-22 21:00:00,23,3,1,2015,479.0
2015-01-22 22:00:00,0,4,1,2015,421.75
2015-01-22 23:00:00,1,4,1,2015,370.25
2015-01-23 00:00:00,2,4,1,2015,341.5
2015-01-23 01:00:00,3,4,1,2015,329.75
2015-01-23 02:00:00,4,4,1,2015,327.75
2015-01-23 03:00:00,5,4,1,2015,344.75
2015-01-23 04:00:00,6,4,1,2015,391.5
