Time (UTC),Local hour of the day,Local day of the week,Local month of the year,Local year,Electricity generation [MW]
2014-12-31 22:00:00,0,3,1,2015,424.5
2014-12-31 23:00:00,1,3,1,2015,402.5
2015-01-01 00:00:00,2,3,1,2015,369.25
2015-01-01 01:00:00,3,3,1,2015,338.25
2015-01-01 02:00:00,4,3,1,2015,322.0
2015-01-01 03:00:00,5,3,1,2015,314.0
2015-01-01 04:00:00,6,3,1,2015,302.5
2015-01-01 05:00:00,7,3,1,2015,299.5
2015-01-01 06:00:00,8,3,1,2015,314.75
2015-01-01 07:00:00,9,3,1,2015,331.75
2015-01-01 08:00:00,10,3,1,2015,347.5
2015-01-01 09:00:00,11,3,1,2015,369.0
2015-01-01 10:00:00,12,3,1,2015,374.0
2015-01-01 11:00:00,13,3,1,2015,362.25
2015-01-01 12:00:00,14,3,1,2015,351.25
2015-01-01 13:00:00,15,3,1,2015,364.75
2015-01-01 14:00:00,16,3,1,2015,395.5
2015-01-01 15:00:00,17,3,1,2015,466.5
2015-01-01 16:00:00,18,3,1,2015,504.5
2015-01-01 17:00:00,19,3,1,2015,512.25
2015-01-01 18:00:00,20,3,1,2015,506.5
2015-01-01 19:00:00,21,3,1,2015,499.75
2015-01-01 20:00:00,22,3,1,2015,480.5
2015-01-01 21:00:00,23,3,1,2015,446.25
2015-01-01 22:00:00,0,4,1,2015,398.25
2015-01-01 23:00:00,1,4,1,2015,351.75
2015-01-02 00:00:00,2,4,1,2015,323.75
2015-01-02 01:00:00,3,4,1,2015,309.25
2015-01-02 02:00:00,4,4,1,2015,307.5
2015-01-02 03:00:00,5,4,1,2015,317.25
2015-01-02 04:00:00,6,4,1,2015,329.5
2015-01-02 05:00:00,7,4,1,2015,365.25
2015-01-02 06:00:00,8,4,1,2015,411.0
2015-01-02 07:00:00,9,4,1,2015,436.5
2015-01-02 08:00:00,10,4,1,2015,446.75
2015-01-02 09:00:00,11,4,1,2015,455.0
2015-01-02 10:00:00,12,4,1,2015,466.75
2015-01-02 11:00:00,13,4,1,2015,471.75
2015-01-02 12:00:00,14,4,1,2015,470.5
2015-01-02 13:00:00,15,4,1,2015,477.25
2015-01-02 14:00:00,16,4,1,2015,488.25
2015-01-02 15:00:00,17,4,1,2015,567.25
2015-01-02 16:00:00,18,4,1,2015,610.5
2015-01-02 17:00:00,19,4,1,2015,604.25
2015-01-02 18:00:00,20,4,1,2015,581.0
2015-01-02 19:00:00,21,4,1,2015,553.75
2015-01-02 20:00:00,22,4,1,2015,520.25
2015-01-02 21:00:00,23,4,1,2015,484.5
2015-01-02 22:00:00,0,5,1,2015,432.75
2015-01-02 23:00:00,1,5,1,2015,383.25
2015-01-03 00:00:00,2,5,1,2015,347.25
2015-01-03 01:00:00,3,5,1,2015,331.75
2015-01-03 02:00:00,4,5,1,2015,324.25
2015-01-03 03:00:00,5,5,1,2015,327.0
